company_name,region,sector,near_term_status,near_term_target_classification,near_term_target_year,long_term_status,long_term_target_classification,long_term_target_year, net_zero_status,net_zero_year,full_target_language,ba15_status,ba15_date ,target_classification_long,reason_for_extension_or_removal,Country,Country Code,Sector,CA100 Company?,Large/Medium Classification,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Disclosure,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures
Procter & Gamble,Northern America,"Consumer Durables, Household and Personal Products",Targets set,1.5C,2030,,,,Commitment removed,,"P&G commits to reduce absolute scope 1 and 2 GHG emissions 63% by FY2030 from a FY2015 base year. P&G commits to increase active annual sourcing of renewable electricity from 21% in FY2015 to 100% by FY2030.
P&G also commits to reduce scope 3 GHG emissions from purchased goods and services 40% per unit of production by FY2030 from a FY2020 base year.
P&G commits to reduce scope 3 GHG emissions from upstream transportation and distribution 50% per tonne-kilometer over the same timeframe",BA1.5 member,9/16/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,,,,,,2023-11-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procter & Gamble,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,Yes,large,2024-04-05 00:00:00,4.0,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procter & Gamble,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,Yes,large,2023-04-26 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Service Enterprise Group,Northern America,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",Commitment removed,,,,,,,,,BA1.5 member,9/29/21 1:00,,Expired commitment,,,,,,2021-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Service Enterprise Group,Northern America,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,No,large,2024-01-05 00:00:00,3.0,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Service Enterprise Group,Northern America,,,,,,,,,,,,,,,United States of America,USA,Electricity Utilities,No,large,2023-04-26 00:00:00,4.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regal Rexnord Corporation,Northern America,Electrical Equipment and Machinery,Commitment removed,,,,,,Commitment removed,,,BA1.5 member,9/15/22 1:00,,Expired commitment,,,,,,2022-09-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regal Rexnord Corporation,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2024-04-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic Services,Northern America,Solid Waste Management Utilities,Targets set,Well-below 2C,2030,,,,,,"Solid waste collection, transfer, disposal, recycling, and energy services provider Republic Services, commits to reduce absolute total Scope 1 and 2 GHG emissions 35% by 2030 from a 2017 baseline year*. *The target boundary includes biogenic emissions from biogenic feedstocks",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2019-09-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic Services,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,2024-04-30 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic Services,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,large,2023-04-24 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwell Automation Inc.,Northern America,Electrical Equipment and Machinery,Committed,,,,,,Committed,,,,,,,United States of America,USA,Industrials,No,medium,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealed Air,Northern America,Containers and Packaging,Targets set,1.5C,2030,,,,,,Sealed Air Corporation commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Sealed Air Corporation commits to reduce absolute scope 3 GHG emissions from purchased goods and services as well as use of sold products 15% within the same timeframe.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2021-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealed Air,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2024-03-05 00:00:00,4.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Property Group,Northern America,Real Estate,Targets set,1.5C,2035,,,,,,Simon Property Group commits to reduce absolute scope 1 and 2 GHG emissions 68% by 2035 from a 2019 base year. Simon Property Group also commits to reduce absolute scope 3 GHG emission from downstream leased assets 21% by 2035 from a 2018 base year.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2020-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Property Group,Northern America,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoco Products Company,Northern America,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2C,2030,,,,,,Sonoco commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2020 base year*. Sonoco also commits to reduce absolute scope 3 GHG emissions 13.5% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2021-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoco Products,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,small,2024-04-25 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Black & Decker,Northern America,Electrical Equipment and Machinery,Targets set,1.5C,2030,,,,,,"Stanley Black & Decker commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2022 base year. Stanley Black & Decker also commits to reduce scope 3 GHG
emissions from purchased goods and services 52% per kg of material purchased within the same timeframe. Stanley Black & Decker further commits to reduce scope 3 GHG emissions
from upstream transportation and distribution 52% per kg of material transported within the same timeframe. Stanley Black & Decker finally commits to reduce scope 3 GHG emissions from use of sold products 52% per kilowatt of sold product output power within the same timeframe.",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2025-01-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Black & Decker,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,medium,2024-04-05 00:00:00,3.0,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Black & Decker,Northern America,,,,,,,,,,,,,,,United States of America,USA,Industrials,No,medium,2023-04-24 00:00:00,4.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks,Northern America,Food and Beverage Processing,Targets set,1.5C,2030,,,,,,"Starbucks commits to reduce absolute scope 1, scope 2, and scope 3 GHG emissions 50% by FY2030 from a FY2019 base year.",BA1.5 member,9/23/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2021-09-23 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2024-03-05 00:00:00,4.0,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,large,2023-04-17 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRYKER CORPORATION,Northern America,Healthcare Equipment and Supplies,Committed,,,,,,,,,,,,,United States of America,USA,Chemicals,No,medium,2024-03-25 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvamo Corporation,Northern America,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Targets set,Well-below 2C,2030,,,,,,Sylvamo commits to reduce absolute scope 1 and 2 GHG emissions 28.1% by 2030 from a 2019 base year.* Sylvamo commits to reduce absolute scope 3 GHG emissions 27.5% by 2030 by a 2019 base year. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2023-05-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLA Corporation,Northern America,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2024-04-18 00:00:00,4.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synopsys,Northern America,Software and Services,Targets set,1.5C,2032,,,,,,"Synopsys commits to reduce absolute scope 1 and 2 GHG emissions 55% by
2032 from a 2019 base year. Synopsys also commits to reduce scope 3 GHG
emissions from employee commuting and business travel 62% per employee
within the same timeframe. Synopsys further commits to reduce scope 3 GHG
emissions from use of sold products 62% per lifetime verification task within
the same timeframe. Synopsys further commits that 45% of its suppliers by
spend, covering purchased goods and services, and capital goods, will have
science-based targets by 2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2023-09-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synopsys,Northern America,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sysco Corporation,Northern America,Food and Staples Retailing,Targets set,Well-below 2C,2030,,,,,,"Sysco Corporation commits to reduce absolute scope 1 and 2 GHG emissions 27.5% by 2030 from a 2019 base year*. Sysco Corporation also commits that 67% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution, will have science_x0002_based targets by 2026. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2022-08-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,Asia,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,2024-04-29 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denso Corporation,Asia,,,,,,,,,,,,,,,Japan,JPN,Consumer Goods,No,large,2023-04-21 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Corporation,Northern America,Retailing,Targets set,2C,2030,,,,Committed,,US retailer Target commits to reduce absolute scope 1 and 2 emissions and scope 3 GHG emissions from retail purchased goods and services 30% by 2030 from a 2017 base-year. Target also commits that 80% of its suppliers by spend covering all purchased goods and services will set science-based scope 1 and scope 2 targets by 2023.,BA1.5 member,7/1/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,,,,,,2021-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metso Corporation,Europe,,,,,,,,,,,,,,,Finland,FIN,Industrials,No,medium,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla,Northern America,Automobiles and Components,Committed,,,,,,,,,BA1.5 member,10/26/21 1:00,,Automakers pathway,,,,,,2021-10-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla,Northern America,,,,,,,,,,,,,,,United States of America,USA,Autos,No,large,2024-04-30 00:00:00,2.0,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla,Northern America,,,,,,,,,,,,,,,United States of America,USA,Autos,No,large,2023-04-17 00:00:00,2.0,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cigna Group,Northern America,"Healthcare Providers and Services, and Healthcare Technology",Committed,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,2024-04-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermo Fisher Scientific,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,Targets set,1.5C,2050,Targets set,2050,"Overall Net-Zero Target Thermo Fisher Scientific Inc. commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2018 base year. Near-Term Targets Thermo Fisher Scientific commits to reduce absolute scope 1 and 2 GHG emissions 50.4% by 2030 from a 2018 base year. Thermo Fisher also commits that 90% of its suppliers by spend covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2027. Long-Term Targets Thermo Fisher commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2018 base year. Thermo Fisher also commits to reduce absolute scope 3 GHG emissions 90% by 2050 from a 2021 base year.",BA1.5 member,7/22/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Health Care,No,large,2023-04-24 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor Supply,Northern America,Retailing,Committed,,,,,,,,,,,,,,,,,,2023-10-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor Supply,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Foods,Northern America,Food and Beverage Processing,Targets set,2C,2030,,,,,,"Tyson Foods, Inc. commits to reduce absolute Scope 1 and 2 GHG emissions 30% by 2030 from a 2016 base‐year. Tyson Foods, Inc. also commits to reduce Scope 3 GHG emissions from production of poultry, pork and beef (covering 80% of their scope 3 inventory) 30% per ton of finished meat by 2030 from a 2016 base‐year.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C,,,,,,,2018-09-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Foods,Northern America,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2024-03-05 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Foods,Northern America,,,,,,,,,,,,,,,United States of America,USA,Food Producers,No,medium,2023-05-05 00:00:00,3.0,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDR,Northern America,Real Estate,Commitment removed,,,,,,,,,,,,Expired commitment,,,,,,2021-08-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDR,Northern America,,,,,,,,,,,,,,,United States of America,USA,Financials,No,medium,2024-03-27 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulta Beauty,Northern America,Retailing,Targets set,1.5C,2030,,,,,,"Ulta Beauty, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2030 from a FY2019 base year. Ulta Beauty, Inc. also commits to reduce absolute scope 3 GHG emissions covering use of sold products 28% by FY2030 from a FY2019 base year. Ulta Beauty, Inc. further commits that 68% of its suppliers by emissions covering purchased goods and services, will have science-based targets by FY2027.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2023-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulta Beauty,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,medium,2024-04-23 00:00:00,2.0,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unitedhealth Group,Northern America,"Banks, Diverse Financials, Insurance",Committed,,,,,,Committed,,,BA1.5 member,6/9/22 1:00,,Financial institutions net-zero commitment: deadline 24 months from Financial Institutions Net-Zero Standard launch,,,,,,2022-06-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unitedhealth Group,Northern America,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,large,2024-04-19 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Foods Holding Corp.,Northern America,Food and Staples Retailing,Targets set,Well-below 2C,2032,,,,,,US Foods Holding Corp. commits to reduce absolute scopes 1 and 2 GHG emissions 32.5% by 2032 from a 2019 base year. US Foods commits that 67% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2027.,,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C,,,,,,,2023-01-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor & Decor Holdings,Northern America,,,,,,,,,,,,,,,United States of America,USA,Consumer Services,No,small,2024-04-30 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas,Northern America,Real Estate,Targets set,1.5C,2030,,,,,,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Ventas, Inc. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,United States of America,USA,Financials,No,medium,2024-03-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viatris,Northern America,"Pharmaceuticals, Biotechnology and Life Sciences",Targets set,1.5C,2030,,,,,,"Viatris Inc. commits to reduce absolute scope 1 and 2 GHG emissions 42% by 2030 from a 2020 base year*. Viatris Inc. also commits to reduce absolute scope 3 GHG emissions covering purchased goods and services, capital goods, fuel and energy related activities, and upstream transportation and distribution 25% within the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.",,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,,,,,,,2022-12-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viatris,Northern America,,,,,,,,,,,,,,,United States of America,USA,Health Care,No,medium,2024-02-05 00:00:00,3.0,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart,Northern America,Food and Staples Retailing,Targets set,1.5C,2030,,,,Commitment removed,,Walmart commits to reduce absolute scopes 1 and 2 GHG emissions 35% by 2025 and 65% by 2030 from a 2015 base year. Walmart will also work to reduce CO2e emissions from upstream and downstream scope 3 sources by one billion tonnes between by 2030 from a 2015 base year.,BA1.5 member,4/22/21 1:00,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C,Expired commitment,,,,,,2021-04-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
