Company,Year,Overall transparency score,Overall integrity score,1. Transparency and Integrity,2. Transparency,2. Integrity,3. Transparency,3. Integrity,4. Transparency,4. Integrity,What is their revenue?,What are their emissions?,What is their pledge?,Major emission sources,Disclosure,Headline target or pledge,Short-term targets - grey,Short-term targets - white,Medium-term targets - grey,Medium-term targets - white,Longer-term targets - grey,Longer-term targets - white,Operational emissions (scope 1) number,Operational emissions (scope 1) verbiage,Renewable electricity (scope 2) number,Renewable electricity (scope 2) verbiage,Upstream emissions (scope 3) number,Upstream emissions (scope 3) verbiage,Downstream emissions (scope 3) number,Downstream emissions (scope 3) verbiage,Climate contributions today,Misleading offsetting claims today,Short and medium term targets - grey,Short and medium term targets - white,Emission Reduction Measures,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,training_idx
IKEA,2022,Reasonable,Poor,High,Moderate,Very Poor,Moderate,Moderate,Moderate,Very Poor,USD 47 bn [EUR 41.9 bn] (2021),26.8 MtCO2e (2021),Climate positive by 2030,"Raw material extraction and processing (scope 3 upstream, 52%); product use (scope 3 downstream, 17%).","Major emission sources are clearly disclosed, along with methodological explanation.",Climate positive by 2030,,,,,,,,,,"Higher quality RE projects, but also use of renewable energy certificates.",,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,"Detailed presentation of reduction measures across most major emission sources, but limited indication of scale and potential impact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ikea_2020
Inditex,2023,Moderate,Poor,Moderate,Moderate,Very Poor,Poor,Very Poor,Poor,Poor,USD 32.8 bn (2021),13.9 MtCO2e (2021),Net-zero GHG emissions by 2040,S3 emissions account for 99.6% of the total. Most relevant categories are purchased goods and services (59%) and use of sold products (21%).,"Almost all s3 reported, except for downstream transport and distribution. S2 reported under market and location-based methods, but lowest estimate used for targets.",Net-zero GHG emissions by 2040,,,,,Net-zero GHG emissions by 2040,Net-zero target scope not clear. No own emission reduction target presented alongside net-zero pledge.,,,,Inditex does not publicly disclose RE procurement constructs. CDP responses indicate high reliance on RECs.,,,,,,"Climate contribution to nature conservation projects, but limited volume (eq. to EUR 0.24/tCO2e) No oﬀsetting claims today identiﬁed.",-Reduce s1&2 emissions by 90% below 2018 levels by 2030. -Reduce s3 emissions from purchased goods and services by 20% below 2018 levels by 2030.,"Targets represents a 10% reduction in total emissions, well below 1.5°C-aligned benchmarks for the fashion industry",Insufﬁcient information is provided to understand the signiﬁcance and sufﬁciency of emission reduction measures.,Spain,ESP,Consumer Services,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,inditex_2021
Inditex,2024,Reasonable,Moderate,Reasonable,High,Reasonable,Moderate,Poor,Poor,Poor,USD 34.2 bn (2022),14.2 MtCO2e (2022),Net zero by 2040,Scope 3 accounts for 97% of Inditex's emissions. Purchased goods (77%) are the most important source. Use of sold products is shown separately and not counted towards the total.,GHG reported for all years and most categories. Activity indicators provided for all scopes. Lowest S2 value used for total emissions.,Net zero by 2040,Reducing scope 1 and 2 emissions by 90% and scope 3 by 50% below 2018 levels by 2030,"Target in line with existing benchmarks, but no interim target identiﬁed.","Reducing scope 1, 2 and 3 emissions by 90% below 2018","Target in line with existing benchmarks, but no interim target identiﬁed.",No target identiﬁed.,No target identiﬁed.,0.1% of 2022 emissions,Not assessed.,3.2% of 2022 emissions,"Inditex is increasing its use of PPAs to reach 60% of its electricity consumption by 2030, improving its previous reliance on standalone RECs for its 100% renewable claim.",94.3% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to clarify impact, especially regarding the use of biomass and reducing (over)production.",2.5% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No offsetting claim identified.,,,,Spain,ESP,Consumer Services,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,inditex_2022
JBS,2022,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,USD 47 bn (2021),est. ~287 MtCO2e (2020),Net-zero emissions by 2040,"Upstream scope 3 emissions, resulting from land-use change in the value chain.","Annual reporting of scope 1, 2 and 3 emissions for three most recent years, but with limited detail. Location-based or market-based method for scope 2 emissions not specified. Gross underreporting of scope 3 emissions: no reporting on a large share of LUC emissions (e.g., non-JBS-owned farms and feedlots are not included).",Net-zero emissions by 2040,,,,,,,,,,"Some mention of biogas and solar energy at production facilities, but insufficient information to assess quantity and quality.",,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,"Limited information on reduction measures. JBS commits to put in place measures to end deforestation, although deforestation emissions may not be covered by net-zero target.",,,,,,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,jbs_2020
JBS,2023,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,USD 64.7 bn (2021),71.1 MtCO2e (2021),Net-zero GHG emissions by 2040,"Major emissions are in s3. Although no breakdown provided, we assume that emissions related to rearing cattle are the main emission source.",JBS reports 10 times larger s3 emissions in its 2021 sustainability report than in previous ones. We could not identify a clear explanation for the increase.,Net-zero GHG emissions by 2040,,,,,Net-zero emissions by 2040,JBS does not specify an emission reduction target alongside its net-zero emissions pledge; the sufﬁciency of that long-term vision is unclear.,,,,"Little public information on RE procurement. Claim that 46% of electricity demand is RE-based, but little to no info on existing and planned procurement constructs.",,,,,Fund for the Amazon,projects may have a positive climate impact. Sum of support is not proportional to JBS' GHG footprint.,Reduce s1&2 emissions by 30% by 2030 from a 2019 baseline.,Unclear language around intensity vs. absolute target. Does not cover s3 (>90% of emissions).,Emission reduction measures described in vague terms; potential impact remains unclear. Unclear how most important emission sources (rearing cattle) will be reduced.,Brazil,BRA,Food Producers,Yes,large,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,jbs_2021
JBS,2024,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,BRA,Food Producers,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,jbs_2022
KEPCO,2024,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,USD 55.2 bn (2022),462.4 MtCO2e (2021),Carbon neutrality by 2050,"Approximately half of emissions are attributed to scope 3 upstream, particularly from power generation fuel combustion and production",KEPCO presents inconsistent figures for scope 1 & 2 emissions in 2022 sustainability report; scope 3 data is incomplete without explanation,Carbon neutrality by 2050,Reduce scope 1 and 2 by 47.4% below 2018 levels,Short-term target excludes scope 3 emissions and targeted emission reductions fall well short of 1.5°C-compatible benchmarks for the sector.,No targets for the 2031-2040 timeframe identiﬁed.,,Carbon neutrality for its own operations (i.e. scopes 1 and 2) by 2050,Long-term target excludes scope 3 emissions and translates to a very limited reduction in emissions across the value chain.,37% of 2021 emissions,"Critically inadequate renewable targets, a delayed coal phaseout, a risk of fossil gas lock-in and use of false solution (CCUS)",8% of 2021 emissions,Not assessed.,54% of 2021 emissions,"Critically inadequate renewable targets, a delayed coal phaseout, and a risk of fossil gas lock-in",1% of 2021 emissions,"Implemented certain measures to decarbonise other sectors, from deploying EV charging points to scaling up green hydrogen",No climate contributions identiﬁed.,No offsetting claim identified.,,,,South Korea,KOR,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,kepco_2022
KEPCO,2023,Poor,Very Poor,Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea,KOR,Electricity Utilities,Yes,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,kepco_2021
Maersk,2022,Reasonable,Reasonable,Moderate,High,High,Moderate,High,Moderate,Moderate,USD 39.7 bn (2020),53.2 MtCO2e (2020),Net zero by 2040,"Shipping emissions from bunker fuels (scope 1, 63%).","Maersk does not provide a breakdown of scope 1 emissions, which account for the largest share of the company’s GHG emissions. Some smaller scope 3 emissions sources are not reported.",Net-zero emissions by 2040,,,,,,,,,,Limited details on electricity supply constructs.,,,,,Maersk will invest in nature based solutions “to build a portfolio that generates around five million tonnes of CO2 savings per year by 2030”. More details are lacking.,No offsetting claim in 2020/2021,,,"Comprehensive plans presented for scope 1 emissions, which account for 65% of 2020 emissions. Various examples of measures to address scope 3 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maersk_2020
Maersk,2023,Reasonable,Reasonable,Reasonable,High,Reasonable,Moderate,Moderate,Moderate,Moderate,USD 61.8 bn (2021),78 MtCO2e (2022),Net zero across the business and value chain by 2040 with 100% green solutions for customers,"Fuel consumption on own vessels (s1) accounts for half of all emissions; upstream transportation and distribution and use of sold products for 17% and 13%, respectively.","Disclosure of GHGs is complete. Maersk reports separately on SOx, NOx and particulate matter emissions, including black carbon, but does not report on the climate impact of those emissions.",Net zero across the business and value chain by 2040 with 100% green solutions,,,,,Net zero across the business and value chain by 2040 with 100% green solutions for customers,"90% reduction from 2020 levels is in line with sectoral benchmarks. No explicit mention that non-GHG climate forcers are covered, but these will decrease as Maersk makes the transition",,,,"All European terminals are powered by renewable energy, but more details are lacking. Focus on PPAs and on-site installations in the future.",,,,,,Plans to remove and store at least 5 MtCO2 in 2030 without making a neutralisation claim; further details are lacking. No oﬀsetting claims today identiﬁed.,"2030 targets for ocean activities: 50% reduction in GHG intensity (below 2020) and 25% of cargo to be transported with green fuels. Separate targets for air cargo, logistics facilities, landside and own terminals.",Absolute emission reductions cannot be derived from the company's emission intensity targets. The green fuel targets for shipping exceed 1.5°C-compatible benchmarks for this sector.,Comprehensive plans to shift from fossil fuels to low-carbon and zero-carbon alternatives. No commitment to using bio-based fuels as an interim solution only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maersk_2021
Mars,2024,Moderate,Moderate,Moderate,Reasonable,Reasonable,Moderate,Moderate,Poor,Poor,USD 45 bn (2022),30.9 MtCO2e (2022),Net-zero GHG emissions by 2050 in full value chain.,"94% of 2022 emissions occurred in scope 73% from purchased goods and services (mainly agriculture and land-use change), 16% from downstream transportation.","Mars annually reports to CDP, but does not disclose in public-facing reporting annually. Its Net Zero Roadmap has a breakdown of emissions, but not using conventional reporting standards.",Net-zero GHG emissions by 2050 in full value chain.,Reduce value chain emissions by 27% by 2025 and 50% by 2030 (2015 baseline).,Main emission reduction target (50% by 2030) is transparantly presented and in line with sectoral and global benchmarks. Carbon sequestration is not considered as part of target.,No target identiﬁed,No target identiﬁed.,Net-zero emissions by 2050,"Long-term net-zero target includes an emission reduction of 80%. Although this is aligned with sectoral benchmarks, role of biological CDR remains uncertain. With 50% from 2030, target is already in line with sectoral benchmarks.",3% of 2022 emissions,Not assessed.,3% of 2022 emissions,"Mars pursues some high-quality RE procurement constructs, but public reporting is limited and the coverage of the target unclear.",78% of 2022 emissions,"Some critical measures are presented, that - in sum - will bring the emissions in line with 2030 target. Post-2030 emission reduction strategy is lacking.",16% of 2022 emissions,No measures identiﬁed that can reduce emissions of this scope.,No climate contributions identiﬁed.,Carbon neutrality claims for specific brands. Information insufficient to determine the integrity of the claims.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mars_2022
Mercedes-Benz Group,2023,Poor,Poor,Moderate,Poor,Very Poor,Moderate,Moderate,Very Poor,Very Poor,USD 198.6 bn (2021),124.9 MtCO2e (2021),CO₂-neutral across all stages of the value chain by 2039,"Use phase of sold vehicles (80% in 2021, downstream s3), purchased goods and services (16% in 2021, upstream s3).",S3 emissions reported for 2021 only (no data prior to spin-off of Daimler Truck AG in 2021). Several s3 emissions categories not disclosed and third-party analysis calls integrity of downstream s3 disclosure into question.,New vehicle neutral across all stages of the value chain by 2039,,,,,New vehicle ﬂeet CO₂-neutral across all stages of the value chain by 2039,All emission scopes covered. No emission reduction commitment alongside carbon neutrality pledge. No 1.5°C-aligned phaseout dates for ICEs.,,,,"Detailed information disclosed for German production plants only. On-site generation and PPAs (solar, wind, hydro) with combined storage to match consumption and generation.",,,,,,Use of offsets to claim 'CO2-neutral' production plants worldwide No climate contributions identiﬁed.,- 40% vehicle life-cycle emissions intensity reduction by 2030 (below 2018) - 50% absolute s1 & s2 emissions reduction by 2030 (below 2018),No 1.5C-aligned phaseout dates for ICEs. 2030 targets cannot be quantifed across the entire value chain due to lack of historical emission data.,"Relevant measures for key emission sources, including investments in vehicle electriﬁcation and low-carbon steel production. Limited details on timeline and expected impact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mercedes-benz_group_2021
Microsoft,2023,Reasonable,Moderate,Reasonable,Moderate,Very Poor,Moderate,Moderate,High,Poor,USD 168.09 bn (2021),19.2 MtCO2e (2021),Carbon negative by 2030,"Emissions from electricity (25%; location-based s2), purchased goods and services (26%), and the construction of ofﬁces/datacentres (22%).","Comprehensive disclosure of all emission scopes, but market-based s2 estimates are used for aggregated disclosure and targets.",Carbon negative by 2030,,,,,Pledge 'to remove by 2050 all the carbon the company has emitted either directly or by electrical consumption since it was founded in 1975'.,No clear plans to reduce emissions beyond 2030. We interpret the target as a commitment to offset historical s1 and s2 emissions since 1975.,,,,100% RE in 2021 through unbundled RECs and PPAs. Target of 100% local RE with 24/7 matching by 2030.,,,,,,Mainly nature-based solutions (99%) with a 'contracted durability' of No climate contributions identiﬁed.,Microsoft pledges to become carbon negative by 2030 and maintain its existing claim of carbon neutrality each year until 2030.,"Commitment to reduce market-based emissions by 50% by 2030, which translates to a 38% reduction of location-based emissions.","Measures for most emission sources, but implementation scale unclear. Flagship projects test innovative new abatement technologies.",United States of America,USA,Technology,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,microsoft_2021
Microsoft,2024,Reasonable,Moderate,Reasonable,Moderate,Very Poor,Moderate,Moderate,High,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Technology,No,large,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,microsoft_2022
Nestle,2022,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Unknown,Unknown,Very Poor,Very Poor,USD 91.8 bn (2020),113.0 MtCO2e (2018),Net zero by 2050,"Sourcing of ingredients (upstream scope 3, 52%).",Upstream and downstream scope 3 emissions related to LUC reported relatively well. Other emissions reporting lacks detail. Unclear whether location-based or market-based method was applied to scope 2 emissions.,Net-zero emissions by 2050,,,,,,,,,,Very little detail on pursued renewable electricity constructs.,,,,,No climate contributions identified,"Nestle does not claim to offset today, but some of its brands do.",,,"Reduction measures presented with limited detail and compared to business-as-usual scenario. Some major emission sources are covered, but other emissions sources will remain largely unabated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nestle_2020
Nestle,2023,Poor,Poor,Moderate,Very Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,USD 95.2 bn (2021),118.7 MtCO2e (2021),Net zero by 2050,Main emissions are from agricultural activities and other purchased goods and services (72%).,"Annual disclosure of emissions, but with limited detail and no breakdown in public-facing reporting.",Net zero by 2050,,,,,Net zero by 2050,Undefined role of 'insetting' measures to claim that emissions are offset; no assessment possible.,,,,"Renewable electricity procurement constructs account for over 60% of consumption, mostly through PPAs. Disclosure of information only in CDP responses.",,,,,,Offsetting claims under the term 'insetting'. 9.7 MtCO2e No climate contributions identiﬁed.,"By 2025, reduce emissions by 20%. By 2030, reduce emissions by 50%.","Targets equate to 16-21% reduction of full emissions footprint in 2019, excluding 'insetting' measures to claim that emissions have been offset.","Reduction measures presented with limited detail and compared to BAU. Major emission sources are addressed, but no clear signs of transformation in agricultural activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nestle_2021
Nestle,2024,Poor,Poor,Reasonable,Poor,Poor,Poor,Poor,Very Poor,Very Poor,USD 98.8 bn (2022),114.7 MtCO2e (2022),Net-zero GHG emissions by 2050,Main emissions are from agricultural activities and other purchased goods and services (72%).,"Annual disclosure of emissions, with a breakdown provided in public-facing reporting. Only market-based emissions disclosed for scope 2.",Net-zero GHG emissions by 2050,"Reduce scope 1, 2 & 3 emissions by 20% by 2025. By 2030, reduce non-FLAG scope 1, 2 & emissions by 50.4% and scope 3 FLAG emissions by 50%.","Updated SBTi FLAG-aligned targets. Limited emission reduction commitment based on targets and measures presented in Net Zero Roadmap, which includes a mix land sequestration CDR and emission reductions.",No target identiﬁed.,No target identiﬁed.,"Reduce non-FLAG scope 1, 2 & 3 emissions by 90% by 2050 vs 2018; reduce absolute scope 3 FLAG GHG emissions by 75% by 2050 vs 2018",Undefined role of CDR for net-zero target and updated SBTi targets.,3% of 2022 emissions,Not assessed.,2% of 2022 emissions,"Renewable electricity procurement constructs account for 77% of consumption, 41% through PPAs. Disclosure of information only in CDP responses.",80% of 2022 emissions,"Some measures to reduce upstream s3 emissions identiﬁed, but includes uncertain measures such as regeneration. Lacks clear commitments to measures that will lead to",15% of 2022 emissions,deep emission reductions. No measures identiﬁed that meaningfully address downstream scope 3.,No climate contributions identiﬁed.,"Nestle has discontinued its carbon neutrality claims for brands, but the company subtracted carbon dioxide removals from its reported emissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nestle_2022
Nike,2023,Moderate,Moderate,Reasonable,Moderate,Moderate,Moderate,Poor,Poor,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No,nike_2021
Nike,2024,Moderate,Moderate,Reasonable,Moderate,Moderate,Moderate,Poor,Poor,Poor,USD 51.2 bn (2022),10.2 MtCO2e (2022),Net zero by 2050,Scope 3 accounts for 97% of Nike's emissions. It's most important source is purchased goods and services (83%). Use of sold products is shown separately and not counted towards the total.,GHG reported for all years and most categories. Explanations provided for missing categories. Activity indicators provided for all scopes.,Net zero by 2050,"By 2025: reduce s1 and s2 by 70% below 2020 levels • By 2030: reduce s1 and s2 by 65% below 2015 levels, reduce s3 by 30% below 2015 levels",2030 target includes is in line with existing fashion benchmarks. No interim scope 3 target.,No targets for the 2021-2040 timeframe identiﬁed.,No target identiﬁed.,"Net zero by 2050. Reducing s1, s2 and s3 emissions by 90% below 2015.","Target in line with existing benchmarks, but no interim target identiﬁed.",0.5% of 2022 emissions,Not assessed.,2.2% of 2022 emissions,"Nike is close to meeting its target for 100% RE by 2025, mostly through local PPAs, but does not commit to hourly matching.",90.4% of 2022 emissions,"Measures cover all key areas but lack suﬃcient information to clarify impact, especially regarding the use of biomass and reducing (over)production.",6.9% of 2022 emissions,Not assessed.,No climate contributions identiﬁed.,No offsetting claim identified.,,,,United States of America,USA,Consumer Goods,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,nike_2022
Novartis,2022,Poor,Very Poor,Very Poor,Moderate,Very Poor,Moderate,Moderate,Very Poor,Very Poor,USD 49 bn (2020),7.1 MtCO2e (2019),Carbon neutral value chain by 2030,"Purchased goods and services (upstream scope 3, 64%).","Reporting of scope 1 and 2 is reasonable, but lacks some detail. Location-based and market-based method are both used for scope 2 emissions, but (lower) market-based method is used for the sum of emissions. Scope 3 reporting is inconsistent: only business travel emissions covered in main public documentation (0.3% of all scope 3 emissions reported elsewhere).",Carbon neutral value chain by 2030,,,,,,,,,,"Mixed use of PPAs, RECs and green tariffs. Renewable electricity procurement does not cover the majority of consumption.",,,,,No climate contributions identified,"Forestry-based offsets since 2016; 30 - 72 ktCO2/a, to offset parts of S1&2 emissions. No details on specific projects; formulation potentially misleading.",,,"Some scope 1 and 2 measures presented. Scope 3 covered in supplier contracts, but measures unclear.",,,,,,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,novartis_2020
Novartis,2023,Poor,Very Poor,Very Poor,Moderate,Very Poor,Moderate,Moderate,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,CHE,Health Care,No,large,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,novartis_2021
Novartis,2024,Poor,Very Poor,Very Poor,Moderate,Very Poor,Moderate,Moderate,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,CHE,Health Care,No,large,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,novartis_2022
PepsiCo,2023,Poor,Poor,Reasonable,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,USD 79.5 bn (2021),63.8 MtCO2e (2021),Net-zero emissions across value chain by 2040,"Major emissions sources are agricultural practices (33%), packaging (26%) and up- and downstream transportation and distribution (20%).","Disclosure in public-facing documentation has limited detail. PepsiCo publishes its CDP disclosures, with a full breakdown of emission scopes and sources.",Net-zero emissions across value chain by 2040,,,,,Net-zero emissions across value chain by 2040,PepsiCo does not specify the share of emissions that it will reduce under its net-zero target.,,,,Overview of energy procurement in public CDP disclosure and summary on webpage. 72% of energy consumption is from RE sources; large share of RE based on unbundled RECs.,,,,,,Carbon price for business travel. Invested in regenerative agriculture No climate contributions identiﬁed.,By 2030: s1 and s2 emissions -75% & s3 emissions -40% (2015 baseline). Includes unspeciﬁed role for oﬀsetting under the term 'insetting'.,"Targets translate to 48% emission reductions, but includes offsets claimed through 'insetting'. Emission reductions will be lower in reality; unclear by how much.","Various measures described, but their collective role in the strategy remains unclear. No clear signs of transformation in agricultural activities for deep emission reductions.",United States of America,USA,Consumer Goods,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,pepsico_2021
PepsiCo,2024,Poor,Poor,Reasonable,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,USA,Consumer Goods,No,large,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,pepsico_2022
Saint-Gobain,2022,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Moderate,Very Poor,Very Poor,USD 43 bn (2020),27.8 MtCO2e (2020),Net zero carbon by 2050,Product use and purchased goods and services (shares unclear due to limited reporting and variations in reported magnitude).,"Annual reporting of scope 1 and 2 emissions, but with limited detail. Location-based or market-based method unspecified. Poor public reporting on scope 3 emissions.",Net zero carbon by 2050,,,,,,,,,,Very limited information on renewable energy procurement; assessment not possible.,,,,,No climate contributions identified,No offsetting claim in 2020/2021,,,"High-level descriptions of emission reduction measures, including some innovative approaches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saint-gobain_2020
Samsung Electronics,2023,Poor,Very Poor,Poor,Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,USD 244.4 bn (2021),143.4 MtCO2e (2021),Net-zero carbon emissions by 2050,"Product use (70%, s3) and energy consumption (9%, s2). Disclosure: S1 and s2 emissions are reported in public",S1 and s2 emissions are reported in public documentation. S3 emissions (86%) are broken down but only disclosed to CDP.,Net-zero carbon emissions by 2050,,,,,Net-zero direct and indirect carbon emissions by 2050 across all global operations,"Commitment to reduce ~17 MtCO2e by 2050 (i.e., 100% reduction of s1 and market-based s2 in 2021). Scope 3 is not included.",,,,"RE accounts for 20% of electricity use, sourced through PPAs, on-site installations, and RECs. 100% RE in the US and China, with 100% goal in all markets except Korea by 2027.",,,,,,Unspecified use of 'emission permits' from CDM projects in Kenya No climate contributions identified.,Net-zero carbon emissions (s1 & s2) for all operations in the DX Division by 2030.,The target covers s1 and s2 of the DX division and excludes all other emissions.,"Measures target most emission sources but are described superﬁcially and often set to be implemented by 2030 or beyond, with limited clarity on short-term action.",South Korea,KOR,Technology,Yes,unlisted,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,samsung_electronics_2021
Samsung Electronics,2024,Poor,Very Poor,Poor,Poor,Very Poor,Moderate,Very Poor,Very Poor,Very Poor,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea,KOR,Technology,Yes,unlisted,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,samsung_electronics_2022
